"Num","ClassName","Name","Cost","Type","Rarity","Target","Description"
"1","ThornsStrike","罗德岛剑击","1","Attack","Basic","AnyEnemy","造成6点伤害。"
"2","ThornsDefend","实验防护","1","Skill","Basic","Self","获得5点格挡。"
"3","PoisonStrike","神经腐蚀","1","Attack","Basic","AnyEnemy","造成4点伤害。施加2层中毒。"
"4","QuickSlash","迅捷斩击","0","Attack","Common","AnyEnemy","造成4点伤害。若目标有中毒，抽1张牌。"
"5","IronGuard","护身架势","1","Skill","Basic","Self","获得7点格挡。下回合开始时，若本回合没有打出攻击牌，回复2点生命。"
"6","RegenerativeSalve","故土潮声","1","Skill","Common","Self","若本回合没有打出攻击牌，回复5点生命；否则获得6点格挡。"
"7","DarkStarGaze","心相","0","Skill","Common","Self","抽1张牌。若场上有炼金单元，获得1层催化。"
"8","PreciseThrust","精准刺击","1","Attack","Common","AnyEnemy","造成7点伤害。若目标有催化，抽1张牌。"
"9","DefensiveStance","护身架势","1","Skill","Common","Self","获得8点格挡。下次受到未格挡攻击时，对随机敌人造成4点伤害。"
"10","NeurotoxinStrike","神经毒刃","1","Attack","Common","AnyEnemy","造成6点伤害。施加2层中毒。若目标没有中毒，改为施加4层中毒。"
"11","DualStrike","二连刺","1","Attack","Common","AnyEnemy","造成4点伤害2次。每次命中均触发神经腐蚀。"
"12","PoisonBlade","淬毒剑刃","1","Attack","Common","AnyEnemy","造成5点伤害。施加4层中毒。"
"13","StarlightBarrier","炼金屏障","1","Skill","Common","Self","获得6点格挡。使炼金单元获得1层护甲，下一次受到伤害改为失去护甲。"
"14","QuickRecovery","应急试剂","1","Skill","Common","Self","回复4点生命。若场上有炼金单元，改为回复2点生命并抽1张牌。"
"15","ChemicalBurn","腐蚀雾区","1","Skill","Common","AllEnemies","对所有敌人施加2层中毒。若场上有炼金单元，额外施加1层催化。"
"16","DestrezaThrust","剑术连携","1","Attack","Common","AnyEnemy","造成3点伤害3次。若击破炼金单元，抽1张牌。"
"17","CrossSlash","交叉斩","1","Attack","Common","AnyEnemy","造成6点伤害。获得4点格挡。"
"18","SeaBreeze","潮声回稳","1","Skill","Common","Self","获得5点格挡。若本回合没有击破炼金单元，抽1张牌。"
"19","InkSplash","远距挥洒","1","Attack","Common","AllEnemies","对所有敌人造成5点伤害。炼金单元不会受到此牌伤害。"
"20","CalmWaters","冷静调配","1","Skill","Common","Self","获得9点格挡。若手牌中有攻击牌，弃1张牌。"
"21","ToxicEdge","毒锋","1","Attack","Common","AnyEnemy","造成7点伤害。若目标有催化，施加3层中毒。"
"22","OceanShield","防蚀护具","2","Skill","Common","Self","获得14点格挡。清除自身1层催化，然后回复2点生命。"
"23","Starfall","抛掷试剂","1","Attack","Common","RandomEnemy","造成8点伤害，随机目标。可以命中炼金单元。"
"24","DeepSeaVenom","深海毒剂","1","Skill","Common","AnyEnemy","施加5层中毒。若目标有催化，额外施加2层中毒。"
"25","SwiftRetort","迅捷反刺","0","Attack","Common","AnyEnemy","造成3点伤害。若上回合失去过生命，获得3点格挡。"
"26","AlchemicalMixture","投放炼金单元","1","Skill","Common","AnyEnemy","召唤1个炼金单元。若场上已有炼金单元，改为触发其脉冲。"
"27","ConstellationDraw","航路测算","1","Skill","Common","Self","抽2张牌。若场上没有炼金单元，弃1张牌。"
"28","AegirResilience","阿戈尔韧性","1","Skill","Common","Self","获得6点格挡。若你有中毒或催化，回复3点生命。"
"29","AbyssalStrike","海嗣斩击","1","Attack","Common","AnyEnemy","造成8点伤害。若目标是炼金单元，改为触发释放且不消耗本牌。"
"30","WaveSlash","浪波斩","1","Attack","Common","AnyEnemy","造成6点伤害。对另一个随机敌人施加2层中毒。"
"31","LodestarGuidance","灯塔指引","1","Skill","Uncommon","Self","选择：召唤1个炼金单元；或触发场上炼金单元的脉冲。抽1张牌。"
"32","Riptide","潮涌刺击","1","Attack","Uncommon","AnyEnemy","造成9点伤害。若本回合触发过炼金单元脉冲，返还1点能量。"
"33","DestrezaMastery","剑术专精","1","Attack","Uncommon","AnyEnemy","造成4点伤害4次。每次命中中毒敌人时获得1层临时力量。"
"34","NeurotoxinCloud","神经腐蚀云","2","Skill","Uncommon","AllEnemies","对所有敌人施加5层中毒和1层催化。"
"35","SelfReconstitution","自我重构","1","Skill","Uncommon","Self","消耗自身所有催化。每消耗1层，获得4点格挡并回复1点生命。"
"36","AncientRitual","第三面的选择","1","Power","Uncommon","Self","每场战斗第一次击破炼金单元时，获得1点力量和1点敏捷。"
"37","ConstellationArmor","视界护甲","2","Skill","Uncommon","Self","获得14点格挡。若场上有炼金单元，所有敌人获得1层虚弱。"
"38","HealingSprings","再生雾","2","Skill","Uncommon","Self","回复8点生命。对所有单位施加1层催化。"
"39","TripleStrike","三段剑术","1","Attack","Uncommon","AnyEnemy","造成5点伤害3次。若三次都命中同一敌人，施加3层中毒。"
"40","DeadlyVenom","致命毒剂","1","Skill","Uncommon","AnyEnemy","施加7层中毒。若目标有催化，获得1点能量。"
"41","OceanCurrent","移动单元","1","Attack","Uncommon","AnyEnemy","造成4点伤害。若场上有炼金单元，触发其脉冲；否则召唤1个炼金单元。抽1张牌。"
"42","ChemicalExplosion","爆炸艺术","2","Attack","Uncommon","AllEnemies","对所有敌人造成10点伤害。击破炼金单元时，本牌费用本回合变为0。"
"43","FocusedDestreza","专注剑势","2","Attack","Uncommon","AnyEnemy","造成7点伤害3次。若你本回合没有打出技能牌，额外造成1次。"
"44","RegenerationAura","再生气雾","1","Power","Uncommon","Self","炼金单元脉冲时，你回复1点生命。"
"45","SeaKingProtection","海疆屏障","3","Skill","Uncommon","Self","获得20点格挡。若场上有炼金单元，对所有敌人施加2层虚弱。"
